,Date,User,XP,Event
0,1-5-2021,3043,5,EditLayout
1,1-5-2021,3043,5,Attack
2,1-5-2021,3043,5,ChangingItemPosition
3,1-5-2021,3043,5,ApplyArmy
4,1-5-2021,3043,5,SelectBaseLayout
5,1-5-2021,3043,5,OccupyBase
6,1-5-2021,3043,5,OccupyBase
7,1-5-2021,3043,5,Attack
8,1-5-2021,3043,5,TargetLocation
9,1-5-2021,3043,5,ApplyArmy
10,1-5-2021,3043,5,OccupyBase
11,1-5-2021,3043,5,GetDecorativeItem
12,1-5-2021,3043,5,ChangeItemPosition
13,1-5-2021,3043,5,ApplyArmy
14,1-5-2021,3043,5,SelectBaseLayout
15,1-5-2021,3043,5,ApplyArmy
16,1-5-2021,3043,5,SelectBaseLayout
17,1-5-2021,3043,5,Attack
18,1-5-2021,3043,5,GetDecorativeItem
19,1-5-2021,3043,5,ApplyArmy
20,1-5-2021,3043,5,ChangingItemPosition
21,1-5-2021,3043,5,EditLayout
22,1-5-2021,3043,5,SelectBaseLayout
23,1-5-2021,3043,5,ApplyArmy
24,1-5-2021,3043,5,GetDecorativeItem
25,1-5-2021,3043,5,GetDecorativeItem
26,1-5-2021,3043,5,ApplyArmy
27,1-5-2021,3043,5,SelectBaseLayout
28,1-5-2021,3043,5,EditLayout
29,1-5-2021,3043,5,SelectBaseLayout
30,1-5-2021,3043,5,Attack
31,1-5-2021,3043,5,TargetLocation
32,1-5-2021,3043,5,ApplyArmy
33,1-5-2021,3043,5,ChangeItemPosition
34,1-5-2021,3043,5,ApplyArmy
35,1-5-2021,3043,5,TargetLocation
36,1-5-2021,3043,5,ChangeItemPosition
37,1-5-2021,3043,5,GetDecorativeItem
38,1-5-2021,3043,5,TargetLocation
39,1-5-2021,3043,5,ApplyArmy
40,1-5-2021,3043,5,SelectBaseLayout
41,1-5-2021,3043,5,OccupyBase
42,1-5-2021,3043,5,Attack
43,1-5-2021,3043,5,OccupyBase
44,1-5-2021,3043,5,SelectBaseLayout
45,1-5-2021,3043,5,GetDecorativeItem
46,1-5-2021,3043,5,ApplyArmy
47,1-5-2021,3043,5,TargetLocation
48,1-5-2021,3043,5,EditLayout
49,1-5-2021,3043,5,EditLayout
50,1-5-2021,3043,5,SelectBaseLayout
51,1-5-2021,3043,5,ApplyArmy
52,1-5-2021,3043,5,ChangeItemPosition
53,1-5-2021,3043,5,Attack
54,1-5-2021,3043,5,TargetLocation
55,1-5-2021,3043,5,ApplyArmy
56,1-5-2021,3043,5,OccupyBase
57,1-5-2021,3043,5,ApplyArmy
58,1-5-2021,3043,5,SelectBaseLayout
59,1-5-2021,3043,5,EditLayout
60,1-5-2021,3043,5,GetDecorativeItem
61,1-5-2021,3043,5,TargetLocation
62,1-5-2021,3043,5,OccupyBase
63,1-5-2021,3043,5,EditLayout
64,1-5-2021,3043,5,SelectBaseLayout
65,1-5-2021,3043,5,SelectBaseLayout
66,1-5-2021,3043,5,GetDecorativeItem
67,1-5-2021,3043,5,SelectBaseLayout
68,1-5-2021,3043,5,ChangeItemPosition
69,1-5-2021,3043,5,SelectBaseLayout
70,1-5-2021,3043,5,GetDecorativeItem
71,1-5-2021,3043,5,EditLayout
72,1-5-2021,3043,5,Attack
73,1-5-2021,3043,5,ChangeItemPosition
74,1-5-2021,3043,5,SelectBaseLayout
75,1-5-2021,3043,5,EditLayout
76,1-5-2021,3043,5,Attack
77,1-5-2021,3043,5,GetDecorativeItem
78,1-5-2021,3043,5,Attack
79,1-5-2021,3043,5,TargetLocation
80,1-5-2021,3043,5,ApplyArmy
81,1-5-2021,3043,5,OccupyBase
82,1-5-2021,3043,5,OccupyBase
83,1-5-2021,3043,5,SelectBaseLayout
84,1-5-2021,3043,5,SelectBaseLayout
85,1-5-2021,3043,5,OccupyBase
86,1-5-2021,3043,5,ChangeItemPosition
87,1-5-2021,3043,5,TargetLocation
88,1-5-2021,3043,5,ChangingItemPosition
89,1-5-2021,3043,5,GetDecorativeItem
90,1-5-2021,3043,5,ChangeItemPosition
91,1-5-2021,3043,5,ChangeItemPosition
92,1-5-2021,3043,5,OccupyBase
93,1-5-2021,3043,5,SelectBaseLayout
94,1-5-2021,3043,5,Attack
95,1-5-2021,3043,5,TargetLocation
96,1-5-2021,3043,5,ApplyArmy
97,1-5-2021,3043,5,OccupyBase
98,1-5-2021,3043,5,TargetLocation
99,1-5-2021,3043,5,ApplyArmy
100,1-5-2021,3043,5,OccupyBase
101,1-5-2021,3043,5,ChangeItemPosition
102,1-5-2021,3043,5,OccupyBase
103,1-5-2021,3043,5,SelectBaseLayout
104,1-5-2021,3043,5,ChangeItemPosition
105,1-5-2021,3043,5,TargetLocation
106,1-5-2021,3043,5,EditLayout
107,1-5-2021,3043,5,ChangingItemPosition
108,1-5-2021,3043,5,Attack
109,1-5-2021,3043,5,TargetLocation
110,1-5-2021,3043,5,ApplyArmy
111,1-5-2021,3043,5,OccupyBase
112,1-5-2021,3043,5,TargetLocation
113,1-5-2021,3043,5,Attack
114,1-5-2021,3043,5,ApplyArmy
115,1-5-2021,3043,5,ApplyArmy
116,1-5-2021,3043,5,ApplyArmy
117,1-5-2021,3043,5,ChangeItemPosition
118,1-5-2021,3043,5,Attack
119,1-5-2021,3043,5,TargetLocation
120,1-5-2021,3043,5,ApplyArmy
121,1-5-2021,3043,5,OccupyBase
122,1-5-2021,3043,5,EditLayout
123,1-5-2021,3043,5,ChangeItemPosition
124,1-5-2021,3043,5,ChangeItemPosition
125,1-5-2021,3043,5,ChangeItemPosition
126,1-5-2021,3043,5,ApplyArmy
127,1-5-2021,3043,5,ChangeItemPosition
128,1-5-2021,3043,5,Attack
129,1-5-2021,3043,5,Attack
130,1-5-2021,3043,5,TargetLocation
131,1-5-2021,3043,5,ApplyArmy
132,1-5-2021,3043,5,OccupyBase
133,1-5-2021,3043,5,GetDecorativeItem
134,1-5-2021,3043,5,EditLayout
135,1-5-2021,3043,5,ChangingItemPosition
136,1-5-2021,3043,5,ChangeItemPosition
137,1-5-2021,3043,5,OccupyBase
138,1-5-2021,3043,5,Attack
139,1-5-2021,3043,5,EditLayout
140,1-5-2021,3043,5,Attack
141,1-5-2021,3043,5,GetDecorativeItem
142,1-5-2021,3043,5,TargetLocation
143,1-5-2021,3043,5,TargetLocation
144,1-5-2021,3043,5,TargetLocation
145,1-5-2021,3043,5,Attack
146,1-5-2021,3043,5,TargetLocation
147,1-5-2021,3043,5,ApplyArmy
148,1-5-2021,3043,5,OccupyBase
149,1-5-2021,3043,5,OccupyBase
150,1-5-2021,3043,5,ApplyArmy
151,1-5-2021,3043,5,GetDecorativeItem
152,1-5-2021,3043,5,GetDecorativeItem
153,1-5-2021,3043,5,EditLayout
