,Date,User,XP,Event
0,1-5-2021,3094,10,Payment
1,1-5-2021,3094,10,Transaction
2,1-5-2021,3094,10,Reply
3,1-5-2021,3094,10,StoreOpened
4,1-5-2021,3094,10,SpendMoney
5,1-5-2021,3094,10,MessageSent
6,1-5-2021,3094,10,ConversationMsgSent
7,1-5-2021,3094,10,PartyJoin
8,1-5-2021,3094,10,ConversationMsgSent
9,1-5-2021,3094,10,Payment
10,1-5-2021,3094,10,StoreItemClick
11,1-5-2021,3094,10,MessageSent
12,1-5-2021,3094,10,StoreOpened
13,1-5-2021,3094,10,StoreItemClick
14,1-5-2021,3094,10,Transaction
15,1-5-2021,3094,10,Payment
16,1-5-2021,3094,10,SpendMoney
17,1-5-2021,3094,10,MessageSent
18,1-5-2021,3094,10,Reply
19,1-5-2021,3094,10,StoreItemClick
20,1-5-2021,3094,10,ConversationNew
21,1-5-2021,3094,10,StoreItemClick
22,1-5-2021,3094,10,Transaction
23,1-5-2021,3094,10,StoreItemClick
24,1-5-2021,3094,10,Transaction
25,1-5-2021,3094,10,PartyJoin
26,1-5-2021,3094,10,StoreOpened
27,1-5-2021,3094,10,PartyJoin
28,1-5-2021,3094,10,StoreItemClick
29,1-5-2021,3094,10,Reply
30,1-5-2021,3094,10,StoreOpened
31,1-5-2021,3094,10,StoreItemClick
32,1-5-2021,3094,10,Transaction
33,1-5-2021,3094,10,Payment
34,1-5-2021,3094,10,SpendMoney
35,1-5-2021,3094,10,Payment
36,1-5-2021,3094,10,SpendMoney
37,1-5-2021,3094,10,ConversationMsgSent
38,1-5-2021,3094,10,ConversationMsgSent
39,1-5-2021,3094,10,MessageSent
40,1-5-2021,3094,10,StoreOpened
41,1-5-2021,3094,10,StoreItemClick
42,1-5-2021,3094,10,Transaction
43,1-5-2021,3094,10,Payment
44,1-5-2021,3094,10,SpendMoney
45,1-5-2021,3094,10,Payment
46,1-5-2021,3094,10,StoreOpened
47,1-5-2021,3094,10,StoreOpened
48,1-5-2021,3094,10,Payment
49,1-5-2021,3094,10,ConversationMsgSent
50,1-5-2021,3094,10,StoreOpened
51,1-5-2021,3094,10,StoreItemClick
52,1-5-2021,3094,10,Transaction
53,1-5-2021,3094,10,Payment
54,1-5-2021,3094,10,SpendMoney
55,1-5-2021,3094,10,Payment
56,1-5-2021,3094,10,StoreOpened
57,1-5-2021,3094,10,ConversationMsgSent
58,1-5-2021,3094,10,StoreItemClick
59,1-5-2021,3094,10,SpendMoney
60,1-5-2021,3094,10,SpendMoney
61,1-5-2021,3094,10,ConversationNew
62,1-5-2021,3094,10,Reply
63,1-5-2021,3094,10,SpendMoney
64,1-5-2021,3094,10,Payment
65,1-5-2021,3094,10,Reply
66,1-5-2021,3094,10,StoreOpened
67,1-5-2021,3094,10,Reply
68,1-5-2021,3094,10,ConversationNew
69,1-5-2021,3094,10,ConversationNew
70,1-5-2021,3094,10,StoreOpened
71,1-5-2021,3094,10,StoreItemClick
72,1-5-2021,3094,10,Transaction
73,1-5-2021,3094,10,Payment
74,1-5-2021,3094,10,SpendMoney
75,1-5-2021,3094,10,MessageSent
76,1-5-2021,3094,10,Transaction
77,1-5-2021,3094,10,ConversationMsgSent
78,1-5-2021,3094,10,Transaction
79,1-5-2021,3094,10,MessageSent
80,1-5-2021,3094,10,Payment
81,1-5-2021,3094,10,StoreItemClick
82,1-5-2021,3094,10,StoreOpened
83,1-5-2021,3094,10,StoreItemClick
84,1-5-2021,3094,10,Transaction
85,1-5-2021,3094,10,Payment
86,1-5-2021,3094,10,SpendMoney
87,1-5-2021,3094,10,MessageSent
88,1-5-2021,3094,10,SpendMoney
89,1-5-2021,3094,10,SpendMoney
90,1-5-2021,3094,10,StoreOpened
91,1-5-2021,3094,10,StoreItemClick
92,1-5-2021,3094,10,Transaction
93,1-5-2021,3094,10,Payment
94,1-5-2021,3094,10,SpendMoney
95,1-5-2021,3094,10,ConversationNew
96,1-5-2021,3094,10,PartyJoin
97,1-5-2021,3094,10,Payment
98,1-5-2021,3094,10,ConversationMsgSent
99,1-5-2021,3094,10,MessageSent
100,1-5-2021,3094,10,StoreOpened
101,1-5-2021,3094,10,StoreItemClick
102,1-5-2021,3094,10,Transaction
103,1-5-2021,3094,10,Payment
104,1-5-2021,3094,10,SpendMoney
105,1-5-2021,3094,10,Payment
106,1-5-2021,3094,10,SpendMoney
107,1-5-2021,3094,10,PartyJoin
108,1-5-2021,3094,10,StoreOpened
109,1-5-2021,3094,10,Reply
110,1-5-2021,3094,10,SpendMoney
111,1-5-2021,3094,10,SpendMoney
112,1-5-2021,3094,10,Payment
113,1-5-2021,3094,10,ConversationMsgSent
114,1-5-2021,3094,10,StoreOpened
115,1-5-2021,3094,10,PartyJoin
116,1-5-2021,3094,10,StoreItemClick
117,1-5-2021,3094,10,Payment
118,1-5-2021,3094,10,StoreOpened
119,1-5-2021,3094,10,StoreItemClick
120,1-5-2021,3094,10,Transaction
121,1-5-2021,3094,10,Payment
122,1-5-2021,3094,10,SpendMoney
123,1-5-2021,3094,10,SpendMoney
124,1-5-2021,3094,10,PartyJoin
125,1-5-2021,3094,10,StoreItemClick
126,1-5-2021,3094,10,Payment
127,1-5-2021,3094,10,Transaction
128,1-5-2021,3094,10,Payment
129,1-5-2021,3094,10,Reply
130,1-5-2021,3094,10,PartyJoin
131,1-5-2021,3094,10,PartyJoin
132,1-5-2021,3094,10,ConversationMsgSent
133,1-5-2021,3094,10,ConversationMsgSent
134,1-5-2021,3094,10,Payment
135,1-5-2021,3094,10,StoreItemClick
136,1-5-2021,3094,10,StoreItemClick
137,1-5-2021,3094,10,StoreOpened
138,1-5-2021,3094,10,StoreItemClick
139,1-5-2021,3094,10,Transaction
140,1-5-2021,3094,10,Payment
141,1-5-2021,3094,10,SpendMoney
142,1-5-2021,3094,10,ConversationNew
143,1-5-2021,3094,10,ConversationMsgSent
144,1-5-2021,3094,10,StoreItemClick
145,1-5-2021,3094,10,StoreItemClick
146,1-5-2021,3094,10,MessageSent
147,1-5-2021,3094,10,ConversationNew
148,1-5-2021,3094,10,StoreOpened
149,1-5-2021,3094,10,Payment
150,1-5-2021,3094,10,Transaction
151,1-5-2021,3094,10,Transaction
152,1-5-2021,3094,10,Transaction
153,1-5-2021,3094,10,MessageSent
154,1-5-2021,3094,10,MessageSent
155,1-5-2021,3094,10,ConversationNew
156,1-5-2021,3094,10,ConversationNew
157,1-5-2021,3094,10,StoreItemClick
158,1-5-2021,3094,10,StoreOpened
159,1-5-2021,3094,10,Payment
160,1-5-2021,3094,10,PartyJoin
161,1-5-2021,3094,10,StoreItemClick
162,1-5-2021,3094,10,PartyJoin
163,1-5-2021,3094,10,ConversationMsgSent
164,1-5-2021,3094,10,Transaction
165,1-5-2021,3094,10,StoreItemClick
166,1-5-2021,3094,10,MessageSent
167,1-5-2021,3094,10,StoreOpened
168,1-5-2021,3094,10,StoreItemClick
169,1-5-2021,3094,10,Transaction
170,1-5-2021,3094,10,Payment
171,1-5-2021,3094,10,SpendMoney
172,1-5-2021,3094,10,Reply
173,1-5-2021,3094,10,Transaction
174,1-5-2021,3094,10,ConversationMsgSent
175,1-5-2021,3094,10,MessageSent
176,1-5-2021,3094,10,Payment
177,1-5-2021,3094,10,MessageSent
178,1-5-2021,3094,10,StoreOpened
179,1-5-2021,3094,10,MessageSent
180,1-5-2021,3094,10,ConversationNew
181,1-5-2021,3094,10,Payment
182,1-5-2021,3094,10,StoreItemClick
183,1-5-2021,3094,10,ConversationMsgSent
184,1-5-2021,3094,10,Reply
185,1-5-2021,3094,10,ConversationMsgSent
186,1-5-2021,3094,10,SpendMoney
187,1-5-2021,3094,10,ConversationNew
188,1-5-2021,3094,10,ConversationNew
189,1-5-2021,3094,10,ConversationNew
190,1-5-2021,3094,10,StoreItemClick
191,1-5-2021,3094,10,StoreItemClick
192,1-5-2021,3094,10,ConversationNew
193,1-5-2021,3094,10,ConversationNew
194,1-5-2021,3094,10,ConversationNew
195,1-5-2021,3094,10,StoreOpened
196,1-5-2021,3094,10,PartyJoin
197,1-5-2021,3094,10,StoreOpened
198,1-5-2021,3094,10,MessageSent
199,1-5-2021,3094,10,SpendMoney
200,1-5-2021,3094,10,SpendMoney
201,1-5-2021,3094,10,PartyJoin
202,1-5-2021,3094,10,Transaction
203,1-5-2021,3094,10,MessageSent
204,1-5-2021,3094,10,ConversationMsgSent
205,1-5-2021,3094,10,Reply
206,1-5-2021,3094,10,ConversationNew
207,1-5-2021,3094,10,StoreOpened
208,1-5-2021,3094,10,StoreOpened
209,1-5-2021,3094,10,StoreItemClick
210,1-5-2021,3094,10,Transaction
211,1-5-2021,3094,10,Payment
