,Date,User,XP,Event
0,1-5-2021,3080,5,ItemSpent
1,1-5-2021,3080,5,Craft
2,1-5-2021,3080,5,UseTool
3,1-5-2021,3080,5,UseElements
4,1-5-2021,3080,5,ResourceSupply
5,1-5-2021,3080,5,Reply
6,1-5-2021,3080,5,ResourceSupply
7,1-5-2021,3080,5,MessageSent
8,1-5-2021,3080,5,ConversationMsgSent
9,1-5-2021,3080,5,ConversationNew
10,1-5-2021,3080,5,MessageSent
11,1-5-2021,3080,5,UseElements
12,1-5-2021,3080,5,Reply
13,1-5-2021,3080,5,ConversationMsgSent
14,1-5-2021,3080,5,Reply
15,1-5-2021,3080,5,MessageSent
16,1-5-2021,3080,5,Craft
17,1-5-2021,3080,5,ConversationNew
18,1-5-2021,3080,5,ConversationMsgSent
19,1-5-2021,3080,5,MessageSent
20,1-5-2021,3080,5,UseElements
21,1-5-2021,3080,5,ResourceSupply
22,1-5-2021,3080,5,ConversationNew
23,1-5-2021,3080,5,PartyJoin
24,1-5-2021,3080,5,Build
25,1-5-2021,3080,5,ConversationMsgSent
26,1-5-2021,3080,5,Craft
27,1-5-2021,3080,5,MessageSent
28,1-5-2021,3080,5,ResourceSupply
29,1-5-2021,3080,5,UseElements
30,1-5-2021,3080,5,ResourceSupply
31,1-5-2021,3080,5,MessageSent
32,1-5-2021,3080,5,ItemSpent
33,1-5-2021,3080,5,ResourceSupply
34,1-5-2021,3080,5,Build
35,1-5-2021,3080,5,UseElements
36,1-5-2021,3080,5,Reply
37,1-5-2021,3080,5,ResourceSupply
38,1-5-2021,3080,5,ConversationMsgSent
39,1-5-2021,3080,5,ItemSpent
40,1-5-2021,3080,5,Craft
41,1-5-2021,3080,5,Craft
42,1-5-2021,3080,5,UseTool
43,1-5-2021,3080,5,ResourceSupply
44,1-5-2021,3080,5,UseTool
45,1-5-2021,3080,5,ItemSpent
46,1-5-2021,3080,5,UseTool
47,1-5-2021,3080,5,PartyJoin
48,1-5-2021,3080,5,ResourceSupply
49,1-5-2021,3080,5,UseElements
50,1-5-2021,3080,5,Craft
51,1-5-2021,3080,5,ItemSpent
52,1-5-2021,3080,5,UseTool
53,1-5-2021,3080,5,Build
54,1-5-2021,3080,5,Build
55,1-5-2021,3080,5,PartyJoin
56,1-5-2021,3080,5,MessageSent
57,1-5-2021,3080,5,Reply
58,1-5-2021,3080,5,ItemSpent
59,1-5-2021,3080,5,ResourceSupply
60,1-5-2021,3080,5,UseElements
61,1-5-2021,3080,5,Craft
62,1-5-2021,3080,5,ItemSpent
63,1-5-2021,3080,5,UseTool
64,1-5-2021,3080,5,Build
65,1-5-2021,3080,5,ResourceSupply
66,1-5-2021,3080,5,UseElements
67,1-5-2021,3080,5,Craft
68,1-5-2021,3080,5,ItemSpent
69,1-5-2021,3080,5,UseTool
70,1-5-2021,3080,5,Build
71,1-5-2021,3080,5,ItemSpent
72,1-5-2021,3080,5,MessageSent
73,1-5-2021,3080,5,Craft
74,1-5-2021,3080,5,UseElements
75,1-5-2021,3080,5,Craft
76,1-5-2021,3080,5,ResourceSupply
77,1-5-2021,3080,5,ResourceSupply
78,1-5-2021,3080,5,UseElements
79,1-5-2021,3080,5,Craft
80,1-5-2021,3080,5,ItemSpent
81,1-5-2021,3080,5,UseTool
82,1-5-2021,3080,5,Build
83,1-5-2021,3080,5,UseElements
84,1-5-2021,3080,5,Craft
85,1-5-2021,3080,5,ItemSpent
86,1-5-2021,3080,5,UseTool
87,1-5-2021,3080,5,Build
88,1-5-2021,3080,5,MessageSent
89,1-5-2021,3080,5,PartyJoin
90,1-5-2021,3080,5,UseElements
91,1-5-2021,3080,5,ResourceSupply
92,1-5-2021,3080,5,UseElements
93,1-5-2021,3080,5,Craft
94,1-5-2021,3080,5,ItemSpent
95,1-5-2021,3080,5,UseTool
96,1-5-2021,3080,5,Build
97,1-5-2021,3080,5,UseElements
98,1-5-2021,3080,5,Build
99,1-5-2021,3080,5,Build
100,1-5-2021,3080,5,PartyJoin
101,1-5-2021,3080,5,ResourceSupply
102,1-5-2021,3080,5,UseTool
103,1-5-2021,3080,5,ResourceSupply
104,1-5-2021,3080,5,ItemSpent
105,1-5-2021,3080,5,ConversationMsgSent
106,1-5-2021,3080,5,PartyJoin
107,1-5-2021,3080,5,MessageSent
108,1-5-2021,3080,5,ResourceSupply
109,1-5-2021,3080,5,UseElements
110,1-5-2021,3080,5,Craft
111,1-5-2021,3080,5,ItemSpent
112,1-5-2021,3080,5,ResourceSupply
113,1-5-2021,3080,5,UseElements
114,1-5-2021,3080,5,Craft
115,1-5-2021,3080,5,ItemSpent
116,1-5-2021,3080,5,UseTool
117,1-5-2021,3080,5,Build
118,1-5-2021,3080,5,ResourceSupply
119,1-5-2021,3080,5,UseTool
120,1-5-2021,3080,5,UseTool
121,1-5-2021,3080,5,UseElements
122,1-5-2021,3080,5,MessageSent
123,1-5-2021,3080,5,UseTool
124,1-5-2021,3080,5,ResourceSupply
125,1-5-2021,3080,5,UseElements
126,1-5-2021,3080,5,Craft
127,1-5-2021,3080,5,ItemSpent
128,1-5-2021,3080,5,UseTool
129,1-5-2021,3080,5,Build
130,1-5-2021,3080,5,Craft
131,1-5-2021,3080,5,ResourceSupply
132,1-5-2021,3080,5,UseElements
133,1-5-2021,3080,5,Craft
134,1-5-2021,3080,5,ItemSpent
135,1-5-2021,3080,5,UseTool
136,1-5-2021,3080,5,Build
137,1-5-2021,3080,5,UseElements
138,1-5-2021,3080,5,MessageSent
139,1-5-2021,3080,5,Craft
140,1-5-2021,3080,5,UseTool
141,1-5-2021,3080,5,ConversationMsgSent
142,1-5-2021,3080,5,Reply
143,1-5-2021,3080,5,ConversationMsgSent
