,Date,User,XP,Event
0,1-5-2021,3068,5,TargetLocation
1,1-5-2021,3068,5,SearchMap
2,1-5-2021,3068,5,FindAllCollectibles
3,1-5-2021,3068,5,UseDistractionItem
4,1-5-2021,3068,5,LeaveZone
5,1-5-2021,3068,5,LeaveZone
6,1-5-2021,3068,5,Hide
7,1-5-2021,3068,5,SearchMap
8,1-5-2021,3068,5,CollectItems
9,1-5-2021,3068,5,FindAllArtifacts
10,1-5-2021,3068,5,UseDistractionItem
11,1-5-2021,3068,5,UseDistractionItem
12,1-5-2021,3068,5,TargetLocation
13,1-5-2021,3068,5,FindHiddenAreas
14,1-5-2021,3068,5,LeaveZone
15,1-5-2021,3068,5,FindAllCollectibles
16,1-5-2021,3068,5,EnterZone
17,1-5-2021,3068,5,Hide
18,1-5-2021,3068,5,TargetLocation
19,1-5-2021,3068,5,UseDistractionItem
20,1-5-2021,3068,5,LeaveZone
21,1-5-2021,3068,5,Hide
22,1-5-2021,3068,5,UseDistractionItem
23,1-5-2021,3068,5,EnterZone
24,1-5-2021,3068,5,Hide
25,1-5-2021,3068,5,TargetLocation
26,1-5-2021,3068,5,UseDistractionItem
27,1-5-2021,3068,5,LeaveZone
28,1-5-2021,3068,5,FindAllArtifacts
29,1-5-2021,3068,5,FindHiddenAreas
30,1-5-2021,3068,5,LeaveZone
31,1-5-2021,3068,5,EnterZone
32,1-5-2021,3068,5,SearchMap
33,1-5-2021,3068,5,UseDistractionItem
34,1-5-2021,3068,5,EnterZone
35,1-5-2021,3068,5,Hide
36,1-5-2021,3068,5,TargetLocation
37,1-5-2021,3068,5,UseDistractionItem
38,1-5-2021,3068,5,LeaveZone
39,1-5-2021,3068,5,FindHiddenAreas
40,1-5-2021,3068,5,FindAllCollectibles
41,1-5-2021,3068,5,FindAllCollectibles
42,1-5-2021,3068,5,FindHiddenAreas
43,1-5-2021,3068,5,CollectItems
44,1-5-2021,3068,5,FindAllCollectibles
45,1-5-2021,3068,5,LeaveZone
46,1-5-2021,3068,5,SearchMap
47,1-5-2021,3068,5,UseDistractionItem
48,1-5-2021,3068,5,EnterZone
49,1-5-2021,3068,5,Hide
50,1-5-2021,3068,5,TargetLocation
51,1-5-2021,3068,5,UseDistractionItem
52,1-5-2021,3068,5,LeaveZone
53,1-5-2021,3068,5,TargetLocation
54,1-5-2021,3068,5,EnterZone
55,1-5-2021,3068,5,LeaveZone
56,1-5-2021,3068,5,UseDistractionItem
57,1-5-2021,3068,5,UseDistractionItem
58,1-5-2021,3068,5,TargetLocation
59,1-5-2021,3068,5,LeaveZone
60,1-5-2021,3068,5,EnterZone
61,1-5-2021,3068,5,Hide
62,1-5-2021,3068,5,FindAllArtifacts
63,1-5-2021,3068,5,TargetLocation
64,1-5-2021,3068,5,SearchMap
65,1-5-2021,3068,5,EnterZone
66,1-5-2021,3068,5,Hide
67,1-5-2021,3068,5,TargetLocation
68,1-5-2021,3068,5,UseDistractionItem
69,1-5-2021,3068,5,LeaveZone
70,1-5-2021,3068,5,FindAllArtifacts
71,1-5-2021,3068,5,FindHiddenAreas
72,1-5-2021,3068,5,CollectItems
