,Date,User,XP,Event
0,1-5-2021,3061,5,Reply
1,1-5-2021,3061,5,ChangeItemLook
2,1-5-2021,3061,5,Resource
3,1-5-2021,3061,5,ResourceSupply
4,1-5-2021,3061,5,ClothesInventory
5,1-5-2021,3061,5,OutfitSelection
6,1-5-2021,3061,5,ChangeItemLook
7,1-5-2021,3061,5,Craft
8,1-5-2021,3061,5,ChangeItemLook
9,1-5-2021,3061,5,Reply
10,1-5-2021,3061,5,ConversationNew
11,1-5-2021,3061,5,Craft
12,1-5-2021,3061,5,ResourceSupply
13,1-5-2021,3061,5,MessageSent
14,1-5-2021,3061,5,ChangeItemLook
15,1-5-2021,3061,5,ChangeItemLook
16,1-5-2021,3061,5,Resource
17,1-5-2021,3061,5,ResourceSupply
18,1-5-2021,3061,5,ClothesInventory
19,1-5-2021,3061,5,OutfitSelection
20,1-5-2021,3061,5,ChangeItemLook
21,1-5-2021,3061,5,Craft
22,1-5-2021,3061,5,Craft
23,1-5-2021,3061,5,ClothesInventory
24,1-5-2021,3061,5,ChangeItemLook
25,1-5-2021,3061,5,PartyJoin
26,1-5-2021,3061,5,ClothesInventory
27,1-5-2021,3061,5,PartyJoin
28,1-5-2021,3061,5,ClothesInventory
29,1-5-2021,3061,5,ChangeItemLook
30,1-5-2021,3061,5,OutfitSelection
31,1-5-2021,3061,5,ChangeItemLook
32,1-5-2021,3061,5,Resource
33,1-5-2021,3061,5,ResourceSupply
34,1-5-2021,3061,5,ClothesInventory
35,1-5-2021,3061,5,OutfitSelection
36,1-5-2021,3061,5,ChangeItemLook
37,1-5-2021,3061,5,Craft
38,1-5-2021,3061,5,ConversationNew
39,1-5-2021,3061,5,MessageSent
40,1-5-2021,3061,5,ChangeItemLook
41,1-5-2021,3061,5,OutfitSelection
42,1-5-2021,3061,5,Resource
43,1-5-2021,3061,5,OutfitSelection
44,1-5-2021,3061,5,Reply
45,1-5-2021,3061,5,MessageSent
46,1-5-2021,3061,5,ResourceSupply
47,1-5-2021,3061,5,OutfitSelection
48,1-5-2021,3061,5,OutfitSelection
49,1-5-2021,3061,5,ConversationNew
50,1-5-2021,3061,5,OutfitSelection
51,1-5-2021,3061,5,PartyJoin
52,1-5-2021,3061,5,ClothesInventory
53,1-5-2021,3061,5,Resource
54,1-5-2021,3061,5,ResourceSupply
55,1-5-2021,3061,5,ConversationNew
56,1-5-2021,3061,5,Reply
57,1-5-2021,3061,5,PartyJoin
58,1-5-2021,3061,5,ResourceSupply
59,1-5-2021,3061,5,ConversationNew
60,1-5-2021,3061,5,ResourceSupply
61,1-5-2021,3061,5,OutfitSelection
62,1-5-2021,3061,5,MessageSent
63,1-5-2021,3061,5,ChangeItemLook
64,1-5-2021,3061,5,Resource
65,1-5-2021,3061,5,ResourceSupply
