,Date,User,XP,Event
0,1-5-2021,3062,50,NPCIteraction
1,1-5-2021,3062,50,EnterZone
2,1-5-2021,3062,50,QuestStart
3,1-5-2021,3062,50,NPCIteraction
4,1-5-2021,3062,50,EnterZone
5,1-5-2021,3062,50,NPCIteraction
6,1-5-2021,3062,50,QuestComplete
7,1-5-2021,3062,50,InventoryFull
8,1-5-2021,3062,50,GetQuest
9,1-5-2021,3062,50,QuestStart
10,1-5-2021,3062,50,QuestStart
11,1-5-2021,3062,50,GiveQuestItem
12,1-5-2021,3062,50,Reward
13,1-5-2021,3062,50,NPCIteraction
14,1-5-2021,3062,50,NPCIteraction
15,1-5-2021,3062,50,GetQuest
16,1-5-2021,3062,50,QuestStart
17,1-5-2021,3062,50,ItemAcquired
18,1-5-2021,3062,50,GiveQuestItem
19,1-5-2021,3062,50,QuestComplete
20,1-5-2021,3062,50,Reward
21,1-5-2021,3062,50,InventoryFull
22,1-5-2021,3062,50,QuestStart
23,1-5-2021,3062,50,GetQuest
24,1-5-2021,3062,50,Loot
25,1-5-2021,3062,50,InventoryFull
26,1-5-2021,3062,50,GiveQuestItem
27,1-5-2021,3062,50,Loot
28,1-5-2021,3062,50,Reward
29,1-5-2021,3062,50,GiveQuestItem
30,1-5-2021,3062,50,QuestComplete
31,1-5-2021,3062,50,SearchChest
32,1-5-2021,3062,50,GiveQuestItem
33,1-5-2021,3062,50,GiveQuestItem
34,1-5-2021,3062,50,NPCIteraction
35,1-5-2021,3062,50,InventoryFull
36,1-5-2021,3062,50,NPCIteraction
37,1-5-2021,3062,50,NPCIteraction
38,1-5-2021,3062,50,GetQuest
39,1-5-2021,3062,50,QuestStart
40,1-5-2021,3062,50,ItemAcquired
41,1-5-2021,3062,50,NPCIteraction
42,1-5-2021,3062,50,GetQuest
43,1-5-2021,3062,50,QuestStart
44,1-5-2021,3062,50,ItemAcquired
45,1-5-2021,3062,50,GiveQuestItem
46,1-5-2021,3062,50,NPCIteraction
47,1-5-2021,3062,50,GetQuest
48,1-5-2021,3062,50,QuestStart
49,1-5-2021,3062,50,ItemAcquired
50,1-5-2021,3062,50,GiveQuestItem
51,1-5-2021,3062,50,QuestComplete
52,1-5-2021,3062,50,Reward
53,1-5-2021,3062,50,ItemAcquired
54,1-5-2021,3062,50,QuestComplete
55,1-5-2021,3062,50,LeaveZone
56,1-5-2021,3062,50,QuestComplete
57,1-5-2021,3062,50,EnterZone
58,1-5-2021,3062,50,GiveQuestItem
59,1-5-2021,3062,50,ItemAcquired
60,1-5-2021,3062,50,Reward
61,1-5-2021,3062,50,SearchChest
62,1-5-2021,3062,50,Loot
63,1-5-2021,3062,50,LeaveZone
64,1-5-2021,3062,50,GiveQuestItem
65,1-5-2021,3062,50,NPCIteraction
66,1-5-2021,3062,50,GiveQuestItem
67,1-5-2021,3062,50,Reward
68,1-5-2021,3062,50,GiveQuestItem
69,1-5-2021,3062,50,NPCIteraction
70,1-5-2021,3062,50,GiveQuestItem
71,1-5-2021,3062,50,SearchChest
72,1-5-2021,3062,50,NPCIteraction
73,1-5-2021,3062,50,Loot
74,1-5-2021,3062,50,ItemAcquired
75,1-5-2021,3062,50,NPCIteraction
76,1-5-2021,3062,50,GetQuest
77,1-5-2021,3062,50,QuestStart
78,1-5-2021,3062,50,ItemAcquired
79,1-5-2021,3062,50,GiveQuestItem
80,1-5-2021,3062,50,QuestComplete
81,1-5-2021,3062,50,Reward
82,1-5-2021,3062,50,ItemAcquired
83,1-5-2021,3062,50,EnterZone
84,1-5-2021,3062,50,QuestStart
85,1-5-2021,3062,50,InventoryFull
86,1-5-2021,3062,50,LeaveZone
87,1-5-2021,3062,50,ItemAcquired
88,1-5-2021,3062,50,GetQuest
89,1-5-2021,3062,50,EnterZone
90,1-5-2021,3062,50,QuestComplete
91,1-5-2021,3062,50,GiveQuestItem
92,1-5-2021,3062,50,NPCIteraction
93,1-5-2021,3062,50,QuestStart
94,1-5-2021,3062,50,QuestComplete
95,1-5-2021,3062,50,NPCIteraction
96,1-5-2021,3062,50,QuestComplete
97,1-5-2021,3062,50,QuestComplete
98,1-5-2021,3062,50,Loot
99,1-5-2021,3062,50,GetQuest
100,1-5-2021,3062,50,QuestComplete
101,1-5-2021,3062,50,NPCIteraction
102,1-5-2021,3062,50,GetQuest
103,1-5-2021,3062,50,QuestStart
104,1-5-2021,3062,50,ItemAcquired
105,1-5-2021,3062,50,GiveQuestItem
106,1-5-2021,3062,50,QuestComplete
107,1-5-2021,3062,50,Reward
108,1-5-2021,3062,50,GetQuest
109,1-5-2021,3062,50,Reward
110,1-5-2021,3062,50,SearchChest
111,1-5-2021,3062,50,QuestStart
112,1-5-2021,3062,50,InventoryFull
113,1-5-2021,3062,50,LeaveZone
114,1-5-2021,3062,50,SearchChest
115,1-5-2021,3062,50,Reward
116,1-5-2021,3062,50,EnterZone
117,1-5-2021,3062,50,InventoryFull
118,1-5-2021,3062,50,Reward
119,1-5-2021,3062,50,Loot
120,1-5-2021,3062,50,Reward
121,1-5-2021,3062,50,Loot
122,1-5-2021,3062,50,ItemAcquired
123,1-5-2021,3062,50,EnterZone
124,1-5-2021,3062,50,GetQuest
125,1-5-2021,3062,50,Reward
126,1-5-2021,3062,50,QuestComplete
127,1-5-2021,3062,50,NPCIteraction
128,1-5-2021,3062,50,GetQuest
129,1-5-2021,3062,50,QuestStart
130,1-5-2021,3062,50,ItemAcquired
131,1-5-2021,3062,50,GiveQuestItem
132,1-5-2021,3062,50,QuestComplete
133,1-5-2021,3062,50,Reward
134,1-5-2021,3062,50,InventoryFull
135,1-5-2021,3062,50,QuestComplete
136,1-5-2021,3062,50,GetQuest
137,1-5-2021,3062,50,LeaveZone
138,1-5-2021,3062,50,SearchChest
139,1-5-2021,3062,50,Reward
140,1-5-2021,3062,50,InventoryFull
141,1-5-2021,3062,50,NPCIteraction
142,1-5-2021,3062,50,NPCIteraction
143,1-5-2021,3062,50,GetQuest
144,1-5-2021,3062,50,QuestStart
145,1-5-2021,3062,50,ItemAcquired
146,1-5-2021,3062,50,GiveQuestItem
147,1-5-2021,3062,50,QuestComplete
148,1-5-2021,3062,50,Reward
149,1-5-2021,3062,50,GetQuest
150,1-5-2021,3062,50,SearchChest
151,1-5-2021,3062,50,QuestStart
152,1-5-2021,3062,50,LeaveZone
153,1-5-2021,3062,50,Reward
154,1-5-2021,3062,50,SearchChest
155,1-5-2021,3062,50,LeaveZone
156,1-5-2021,3062,50,NPCIteraction
157,1-5-2021,3062,50,SearchChest
158,1-5-2021,3062,50,LeaveZone
159,1-5-2021,3062,50,GetQuest
160,1-5-2021,3062,50,QuestStart
161,1-5-2021,3062,50,GiveQuestItem
162,1-5-2021,3062,50,LeaveZone
163,1-5-2021,3062,50,QuestStart
164,1-5-2021,3062,50,GiveQuestItem
165,1-5-2021,3062,50,EnterZone
166,1-5-2021,3062,50,Reward
167,1-5-2021,3062,50,LeaveZone
168,1-5-2021,3062,50,GetQuest
169,1-5-2021,3062,50,ItemAcquired
170,1-5-2021,3062,50,Loot
171,1-5-2021,3062,50,GetQuest
172,1-5-2021,3062,50,Reward
173,1-5-2021,3062,50,QuestComplete
174,1-5-2021,3062,50,GetQuest
175,1-5-2021,3062,50,InventoryFull
176,1-5-2021,3062,50,Reward
177,1-5-2021,3062,50,Loot
178,1-5-2021,3062,50,Reward
179,1-5-2021,3062,50,Reward
180,1-5-2021,3062,50,EnterZone
181,1-5-2021,3062,50,GiveQuestItem
182,1-5-2021,3062,50,NPCIteraction
183,1-5-2021,3062,50,Loot
184,1-5-2021,3062,50,NPCIteraction
185,1-5-2021,3062,50,QuestComplete
186,1-5-2021,3062,50,LeaveZone
187,1-5-2021,3062,50,QuestComplete
188,1-5-2021,3062,50,EnterZone
189,1-5-2021,3062,50,LeaveZone
190,1-5-2021,3062,50,QuestComplete
191,1-5-2021,3062,50,NPCIteraction
192,1-5-2021,3062,50,GetQuest
193,1-5-2021,3062,50,QuestStart
194,1-5-2021,3062,50,ItemAcquired
195,1-5-2021,3062,50,GiveQuestItem
196,1-5-2021,3062,50,QuestComplete
197,1-5-2021,3062,50,Reward
198,1-5-2021,3062,50,Reward
199,1-5-2021,3062,50,InventoryFull
200,1-5-2021,3062,50,EnterZone
201,1-5-2021,3062,50,NPCIteraction
202,1-5-2021,3062,50,GetQuest
203,1-5-2021,3062,50,QuestStart
204,1-5-2021,3062,50,ItemAcquired
205,1-5-2021,3062,50,GiveQuestItem
206,1-5-2021,3062,50,QuestComplete
207,1-5-2021,3062,50,Reward
208,1-5-2021,3062,50,GiveQuestItem
209,1-5-2021,3062,50,NPCIteraction
210,1-5-2021,3062,50,SearchChest
211,1-5-2021,3062,50,GetQuest
212,1-5-2021,3062,50,LeaveZone
213,1-5-2021,3062,50,QuestComplete
214,1-5-2021,3062,50,GetQuest
215,1-5-2021,3062,50,EnterZone
216,1-5-2021,3062,50,QuestStart
217,1-5-2021,3062,50,GetQuest
218,1-5-2021,3062,50,InventoryFull
219,1-5-2021,3062,50,InventoryFull
220,1-5-2021,3062,50,EnterZone
221,1-5-2021,3062,50,SearchChest
222,1-5-2021,3062,50,NPCIteraction
223,1-5-2021,3062,50,GetQuest
224,1-5-2021,3062,50,QuestStart
225,1-5-2021,3062,50,ItemAcquired
226,1-5-2021,3062,50,GiveQuestItem
227,1-5-2021,3062,50,QuestComplete
228,1-5-2021,3062,50,Reward
229,1-5-2021,3062,50,GiveQuestItem
230,1-5-2021,3062,50,InventoryFull
231,1-5-2021,3062,50,Loot
232,1-5-2021,3062,50,QuestComplete
